symbol,interval,days,lambda,n_returns,latest_run_length_mean,argmax_run_length,changepoint_prob,mean_return_recent,vol_recent,regime_label,z_recent
BTC,1h,90,250,2160,120.06733522000745,83,0.004000000000000001,0.0001949498730670431,0.002175166404733607,stable,0.08962526850487958
ETH,1h,90,250,2160,80.83151655819984,83,0.004,0.0004133558581792176,0.002463944508169913,ambiguous,0.16776183749618467
SOL,1h,90,250,2160,128.40153099097486,119,0.004,-3.33974112419243e-05,0.0029513436116756285,stable,-0.011316002348829483
DOGE,1h,90,250,2160,169.5483731162281,212,0.004,0.00015592612703152042,0.003855310561082198,stable,0.04044450493963616
AAVE,1h,90,250,2160,127.65802247606554,136,0.003999999999999999,0.0005840467658715974,0.005891027423824991,stable,0.09914174962240817
