symbol,interval,days,lambda,n_returns,latest_run_length_mean,argmax_run_length,changepoint_prob,mean_return_recent,vol_recent,regime_label,z_recent
BTC,1m,7,250,5032,378.03049383929243,380,0.004,1.8484419959065364e-05,0.00062981773462255,stable,0.029348840057898787
ETH,1m,7,250,5030,830.8638607991938,834,0.004,2.1106942370206007e-05,0.0005952220426905888,stable,0.035460619493854866
SOL,1m,7,250,5021,606.0598171227756,603,0.004000000032536393,2.3165654311577114e-05,0.0006356209580320509,stable,0.03644570560306949
DOGE,1m,7,250,5005,2478.4299832490174,2500,0.004424765969798701,6.955437706975237e-06,0.00050137251094935,stable,0.013872794289828733
AAVE,1m,7,250,5196,637.7575888907782,716,0.004,4.599193177689218e-05,0.0011130718183336259,stable,0.04131982412935983
