symbol,interval,days,lambda,n_returns,latest_run_length_mean,argmax_run_length,changepoint_prob,mean_return_recent,vol_recent,regime_label,z_recent
BTC,15m,30,250,2880,1459.872953318221,1451,0.004000000000000001,6.707758885969664e-05,0.0020214999901975706,stable,0.0331820871555586
ETH,15m,30,250,2880,305.59866382301436,291,0.004,0.0001257949873525039,0.0014518703941318308,stable,0.0866434000313954
SOL,15m,30,250,2880,461.47536693027223,476,0.003999999999999999,-8.995651721392044e-06,0.0017268880798659654,stable,-0.005209168924305884
DOGE,15m,30,250,2880,896.8535308079154,905,0.004000000000000001,2.2042138028086476e-07,0.0023319215595157252,stable,9.45234968909675e-05
AAVE,15m,30,250,2880,145.52283808650597,215,0.004000000000000001,0.00025577612161144475,0.002648020471811052,stable,0.09659144418793432
